21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2023-07-18 00:00:00
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/first homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2023-07-18 00:00:00
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f./home/che/ASVK_python1_prac/crosstest/sample/repo/student/second homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2023-08-24 00:00:00
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/first homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2024-12-23 21:01:35.
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f./home/che/ASVK_python1_prac/crosstest/sample/repo/studentka/second homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2023-08-30 00:00:0
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/first homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/first homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2023-07-12 00:00:00
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/second homework
21:01:45 23.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f./home/che/ASVK_python1_prac/crosstest/sample/repo/teacher/second homework
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2023-08-12 00:00:00
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=Check run, timestamp=2024-12-23 21:01:45.194704
21:01:45 23.12.2024 [                     make]: |   INFO|: Run new checks on all solutions...
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_first.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_first.py / /tmp/hworker_check/Beautiful student_first.in
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/01@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_first.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_first.py / /tmp/hworker_check/Beautiful student_first.in
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/02@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, c
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, ca
